ImageId,ClassId,HasDefect,Confidence
0000f269f.jpg,1,0,0.09194357
0000f269f.jpg,2,0,0.010835014
0000f269f.jpg,3,1,0.8329889
0000f269f.jpg,4,0,0.023301618
000ccc2ac.jpg,1,0,0.3617263
000ccc2ac.jpg,2,0,0.14548822
000ccc2ac.jpg,3,1,0.6621993
000ccc2ac.jpg,4,0,0.0067626894
002451917.jpg,1,0,0.023656746
002451917.jpg,2,0,0.0044312393
002451917.jpg,3,1,0.9098181
002451917.jpg,4,0,0.023748592
003c5da97.jpg,1,0,0.019362057
003c5da97.jpg,2,0,0.004037126
003c5da97.jpg,3,1,0.8664108
003c5da97.jpg,4,0,0.09216473
0042e163f.jpg,1,0,0.04890736
0042e163f.jpg,2,0,0.012372691
0042e163f.jpg,3,1,0.88880897
0042e163f.jpg,4,0,0.009910391
004f40c73.jpg,1,0,0.36154878
004f40c73.jpg,2,0,0.12376183
004f40c73.jpg,3,0,0.5461889
004f40c73.jpg,4,0,0.03967278
00513039a.jpg,1,0,0.014201782
00513039a.jpg,2,0,0.0014721536
00513039a.jpg,3,1,0.93122745
00513039a.jpg,4,0,0.018156465
006f39c41.jpg,1,0,0.39471087
006f39c41.jpg,2,0,0.25442395
006f39c41.jpg,3,0,0.31326127
006f39c41.jpg,4,0,0.014726435
008725cbc.jpg,1,0,0.034550276
008725cbc.jpg,2,0,0.01095203
008725cbc.jpg,3,1,0.8894786
008725cbc.jpg,4,0,0.02321633
0098ca44e.jpg,1,0,0.05586752
0098ca44e.jpg,2,0,0.0378475
0098ca44e.jpg,3,1,0.8898992
0098ca44e.jpg,4,0,0.0015576162
00a0b7730.jpg,1,0,0.25716767
00a0b7730.jpg,2,0,0.008025999
00a0b7730.jpg,3,1,0.82015115
00a0b7730.jpg,4,0,0.011357841
00a0f9949.jpg,1,0,0.0209688
00a0f9949.jpg,2,0,0.006897167
00a0f9949.jpg,3,0,0.5787835
00a0f9949.jpg,4,1,0.65203905
00b000b81.jpg,1,0,0.118517436
00b000b81.jpg,2,0,0.054791674
00b000b81.jpg,3,1,0.84012145
00b000b81.jpg,4,0,0.002178362
00b7fb703.jpg,1,0,0.26143953
00b7fb703.jpg,2,0,0.054651726
00b7fb703.jpg,3,1,0.652075
00b7fb703.jpg,4,0,0.0038041107
00bbcd9af.jpg,1,0,0.06270667
00bbcd9af.jpg,2,0,0.0034761976
00bbcd9af.jpg,3,1,0.74262697
00bbcd9af.jpg,4,0,0.3604497
00d72c660.jpg,1,0,0.026952667
00d72c660.jpg,2,0,0.002632512
00d72c660.jpg,3,1,0.9256154
00d72c660.jpg,4,0,0.009417929
00df5b714.jpg,1,0,0.30753627
00df5b714.jpg,2,0,0.02022332
00df5b714.jpg,3,1,0.6667327
00df5b714.jpg,4,0,0.014796093
00f3799a7.jpg,1,0,0.015847303
00f3799a7.jpg,2,0,0.0035406288
00f3799a7.jpg,3,1,0.86510855
00f3799a7.jpg,4,0,0.04809353
0108ce457.jpg,1,0,0.28161952
0108ce457.jpg,2,0,0.015257346
0108ce457.jpg,3,0,0.5134136
0108ce457.jpg,4,0,0.025496222
0109b68ec.jpg,1,0,0.026646907
0109b68ec.jpg,2,0,0.004485998
0109b68ec.jpg,3,0,0.3636166
0109b68ec.jpg,4,1,0.7923107
010ec96b4.jpg,1,0,0.01907221
010ec96b4.jpg,2,0,0.0017350517
010ec96b4.jpg,3,1,0.94950205
010ec96b4.jpg,4,0,0.006294681
011a7e2a9.jpg,1,1,0.7282674
011a7e2a9.jpg,2,0,0.012413684
011a7e2a9.jpg,3,0,0.4982263
011a7e2a9.jpg,4,0,0.034379534
0126f74ef.jpg,1,0,0.35099092
0126f74ef.jpg,2,0,0.5374566
0126f74ef.jpg,3,0,0.34751973
0126f74ef.jpg,4,0,0.0051946905
012754bbb.jpg,1,0,0.100663684
